x,y,Width,Height,Var,ContrastMichelson,Entropy,IsSplit
336,48,16,16,1052.6,0.723926,4.2966,1
288,56,32,8,1165.96,0.540984,4.82917,1
272,64,16,32,2506.82,0.595745,5.52426,1
352,64,8,32,6913.62,0.710956,5.74179,1
376,64,8,32,7309.31,0.673529,6.04821,1
288,96,32,16,18451.2,0.758782,6.72985,1
320,96,16,32,5250.42,0.737374,5.91903,1
336,96,16,32,9080.26,0.815547,6.12708,1
352,96,16,32,5060.71,0.716738,5.73255,1
368,96,16,32,11388.1,0.806094,6.00681,1
288,112,32,16,9944.41,0.783851,6.00382,1
352,0,32,32,10767.1,0.817734,6.41,1
256,32,32,32,3450.12,0.591928,5.72325,1
288,32,32,32,1224.32,0.630607,4.8886,1
320,32,32,32,3119.07,0.763006,5.31639,1
256,64,32,32,2836.89,0.623377,5.59349,1
352,64,32,32,7031.14,0.803487,6.24482,1
288,96,32,32,18771.8,0.792363,6.74293,1
320,96,32,32,7167.28,0.815547,6.11579,1
352,96,32,32,8398.04,0.816156,5.97421,1
488,0,8,4,5439.85,0.494737,4.39032,0
488,4,8,4,1251.25,0.319635,4.35141,0
480,8,4,8,1828.56,0.38322,4.39032,0
484,8,4,8,942.616,0.27845,3.50262,0
488,8,4,8,2890.31,0.465,4.6875,0
492,8,4,8,2395.17,0.337662,4.3125,0
496,12,4,4,373.609,0.213873,3.28064,0
500,12,4,4,893.109,0.274667,3.57782,0
480,16,4,4,2303.48,0.387654,3.875,0
484,16,8,4,5179.18,0.548913,4.32782,0
496,16,8,4,751.984,0.307692,3.96502,0
480,20,4,4,124.621,0.107872,3.07782,0
484,20,8,4,888.351,0.361404,4.28891,0
496,20,8,4,716.343,0.283105,3.94143,0
464,40,8,4,1593.09,0.469388,4.41391,0
464,44,8,4,685.871,0.301471,3.34002,0
464,56,4,4,302,0.214286,3.10846,0
468,56,8,4,1345,0.45509,4.15564,0
476,56,4,4,3182.86,0.453416,3.625,0
484,64,4,4,251,0.145374,3.25,0
488,64,4,8,92.9844,0.0870588,3.06955,0
492,64,4,8,320.522,0.179612,3.46502,0
